date,total_for_foreign,total_cash,grand_total,exchange_rate,url
تـاريخ البيع - ليوم الأثنين  2018/7/9 والمنفذ يوم الأحد 2018/7/8  ,"129,603,708","41,000,000","170,603,708",علماً أن :,https://cbi.iq/currency_auction/view/341
تـاريخ البيع - ليوم الثلاثاء 2018/7/10 والمنفذ يوم الأثنين 2018/7/9  ,"121,225,408","43,000,000","164,225,408",علماً أن :,https://cbi.iq/currency_auction/view/342
تـاريخ البيع - ليوم الأربعاء 2018/7/11 والمنفذ يوم الثلاثاء 2018/7/10  ,"137,104,035","41,000,000","178,104,035",علماً أن :,https://cbi.iq/currency_auction/view/343
تـاريخ البيع - ليوم الخميس 2018/7/12 والمنفذ يوم الأربعاء 2018/7/11  ,"137,452,151","38,680,000","176,132,151",علماً أن :,https://cbi.iq/currency_auction/view/344
تـاريخ البيع - ليوم الاحد 2018/7/15 والمنفذ يوم الخميس 2018/7/12  ,"133,967,000","40,600,000","147,567,000",علماً أن :,https://cbi.iq/currency_auction/view/345
تـاريخ البيع - ليوم الاثنين 2018/7/16 والمنفذ يوم الاحد 2018/7/15  ,"139,088,930","41,600,000","180,688,930",علماً أن :,https://cbi.iq/currency_auction/view/346
تـاريخ البيع - ليوم الثلاثاء 2018/7/17 والمنفذ يوم الاثنين 2018/7/16 ,"139,837,580","42,520,000","182,357,580",علماً أن :,https://cbi.iq/currency_auction/view/347
تـاريخ البيع - ليوم الاربعاء 2018/7/18 والمنفذ يوم الثلاثاء 2018/7/17 ,"141,068,450","41,400,000","182,468,450",علماً أن :,https://cbi.iq/currency_auction/view/348
تـاريخ البيع - ليوم الخميس 2018/7/19 والمنفذ يوم الأربعاء 2018/7/18 ,"143,509,153","38,480,000
","181,989,153",علماً أن :,https://cbi.iq/currency_auction/view/349
تـاريخ البيع - ليوم الاحد 2018/7/22 والمنفذ يوم الخميس 2018/7/19 ,"144,096,200","39,960,000
","184,056,200",علماً أن :,https://cbi.iq/currency_auction/view/350
تـاريخ البيع - ليوم الاثنين 2018/7/23 والمنفذ يوم الاحد 2018/7/22 ,"158,105,458","41,040,000",اجمالي المبيعات الكلية,علماً أن :,https://cbi.iq/currency_auction/view/351
تـاريخ البيع - ليوم الثلاثاء 2018/7/24 والمنفذ يوم الاثنين 2018/7/23 ,"151,536,377","43,360,000",اجمالي المبيعات الكلية,علماً أن :,https://cbi.iq/currency_auction/view/352
تـاريخ البيع - ليوم الاربعاء 2018/7/25 والمنفذ يوم الثلاثاء 2018/7/24 ,"164,687,271","41,280,000",اجمالي المبيعات الكلية,علماً أن :,https://cbi.iq/currency_auction/view/353
تـاريخ البيع - ليوم الخميس 2018/7/26 والمنفذ يوم الاربعاء 2018/7/25 ,"157,397,418","38,520,000",اجمالي المبيعات الكلية,علماً أن :,https://cbi.iq/currency_auction/view/354
تـاريخ البيع - ليوم الأحد 2018/7/29 والمنفذ يوم الخميس 2018/7/26 ,"156,388,913","36,670,000
","193,058,913",علماً أن :,https://cbi.iq/currency_auction/view/355
تـاريخ البيع - ليوم الأثنين 2018/7/30 والمنفذ يوم الاحد 2018/7/29 ,"153,444,033","38,850,000",اجمالي المبيعات الكلية,علماً أن :,https://cbi.iq/currency_auction/view/356
تـاريخ البيع - ليوم الثلاثاء 2018/7/31 والمنفذ يوم الأثنين 2018/7/30 ,"148,455,683","38,580,000",اجمالي المبيعات الكلية,علماً أن :,https://cbi.iq/currency_auction/view/357
تـاريخ البيع - ليوم الأربعاء 2018/8/1 والمنفذ يوم الثلاثاء 2018/7/31 ,"157,813,954","35,890,000",اجمالي المبيعات الكلية,علماً أن :,https://cbi.iq/currency_auction/view/359
تـاريخ البيع - ليوم الخميس 2018/8/2 والمنفذ يوم الأربعاء 2018/8/1 ,"155,410,710","32,700,000",اجمالي المبيعات الكلية,علماً أن :,https://cbi.iq/currency_auction/view/360
تـاريخ البيع - ليوم الاحد 2018/8/5 والمنفذ يوم الخميس 2018/8/2 ,"149,895,406","34,800,000",اجمالي المبيعات الكلية,علماً أن :,https://cbi.iq/currency_auction/view/361
تـاريخ البيع - ليوم الأثنين 2018/8/6 والمنفذ يوم الأحد 2018/8/5  ,"143,689,384","36,650,000",اجمالي المبيعات الكلية,علماً أن :,https://cbi.iq/currency_auction/view/362
تـاريخ البيع - ليوم الثلاثاء 2018/8/7 والمنفذ يوم الأثنين 2018/8/6  ,"129,150,812"," 36,380,000
","165,530,812",علماً أن :,https://cbi.iq/currency_auction/view/363
تـاريخ البيع - ليوم الاربعاء 2018/8/8 والمنفذ يوم الثلاثاء 2018/8/7  ,"138,758,900","35,890,000
","174,648,900",علماً أن :,https://cbi.iq/currency_auction/view/364
تـاريخ البيع - ليوم الخميس 2018/8/9 والمنفذ يوم الاربعاء 2018/8/8  ,"141,766,928","32,370,000
","174,136,928",علماً أن :,https://cbi.iq/currency_auction/view/365
تـاريخ البيع - ليوم الاحد 2018/8/12 والمنفذ يوم الخميس 2018/8/9  ,"137,225,589","33,150,000
","170,375,589",علماً أن :,https://cbi.iq/currency_auction/view/366
تـاريخ البيع - ليوم الاثنين 2018/8/13 والمنفذ يوم الأحد 2018/8/12  ,"165,328,439","35,100,000",اجمالي المبيعات الكلية,علماً أن :,https://cbi.iq/currency_auction/view/367
تـاريخ البيع - ليوم الثلاثاء 2018/8/14 والمنفذ يوم الاثنين 2018/8/13  ,"161,572,760","35,100,000",اجمالي المبيعات الكلية,علماً أن :,https://cbi.iq/currency_auction/view/368
تـاريخ البيع - ليوم الاربعاء 2018/8/15 والمنفذ يوم الاثنين 2018/8/13  ,"163,963,068","34,150,000",اجمالي المبيعات الكلية,علماً أن :,https://cbi.iq/currency_auction/view/369
تـاريخ البيع - ليوم الخميس 2018/8/16 والمنفذ يوم الثلاثاء 2018/8/14  ,"165,435,107","31,300,000",اجمالي المبيعات الكلية,علماً أن :,https://cbi.iq/currency_auction/view/370
تـاريخ البيع - ليوم الاحد 2018/8/19 والمنفذ يوم الثلاثاء 2018/8/14  ,"139,778,722","40,050,000",اجمالي المبيعات الكلية,علماً أن :,https://cbi.iq/currency_auction/view/371
تـاريخ البيع - ليوم الأثنين  2018/8/20 والمنفذ يوم الاربعاء 2018/8/15  ,"129,387,749","40,450,000",اجمالي المبيعات الكلية,علماً أن :,https://cbi.iq/currency_auction/view/372
تـاريخ البيع - ليوم الثلاثاء 2018/8/21 والمنفذ يوم الاربعاء 2018/8/15  ,"129,724,285","30,950,000",اجمالي المبيعات الكلية,علماً أن :,https://cbi.iq/currency_auction/view/373
تـاريخ البيع - ليوم الاربعاء 2018/8/22 والمنفذ يوم الخميس 2018/8/16  ,"125,617,391","30,150,000",اجمالي المبيعات الكلية,علماً أن :,https://cbi.iq/currency_auction/view/374
تـاريخ البيع - ليوم الخميس 2018/8/23 والمنفذ يوم الخميس 2018/8/16  ,"92,751,000","27,600,000",اجمالي المبيعات الكلية,علماً أن :,https://cbi.iq/currency_auction/view/375
تـاريخ البيع - ليوم الاحد 2018/8/26 والمنفذ يوم الاحد 2018/8/19  ,"122,356,275","31,050,000",اجمالي المبيعات الكلية,علماً أن :,https://cbi.iq/currency_auction/view/376
تـاريخ البيع - ليوم الاثنين 2018/8/27 والمنفذ يوم الاثنين 2018/8/20  ,"138,624,956","36,400,000
","175,024,956",علماً أن :,https://cbi.iq/currency_auction/view/377
تـاريخ البيع - ليوم الثلاثاء 2018/8/28 والمنفذ يوم الاثنين 2018/8/27  ,"120,693,440","32,150,000
","152,843,440",علماً أن :,https://cbi.iq/currency_auction/view/378
تـاريخ البيع - ليوم الاربعاء 2018/8/29 والمنفذ يوم الثلاثاء 2018/8/28  ," 92,750,000","37,000,000
","129,750,000",علماً أن :,https://cbi.iq/currency_auction/view/379
تـاريخ البيع - ليوم الخميس 2018/8/30 والمنفذ يوم الاربعاء 2018/8/29  , ,اجمالي البيع النقدي,اجمالي المبيعات الكلية,علماً أن :,https://cbi.iq/currency_auction/view/380
تـاريخ البيع - ليوم الاحد 2018/9/2 والمنفذ يوم الخميس 2018/8/30  ,"144,596,715","30,150,000",اجمالي المبيعات الكلية,علماً أن :,https://cbi.iq/currency_auction/view/381
تـاريخ البيع - ليوم الاثنين 2018/9/3 والمنفذ يوم الاحد 2018/9/2  ,"180,173,661","39,500,000
","219,673,661",علماً أن :,https://cbi.iq/currency_auction/view/382
تـاريخ البيع - ليوم الثلاثاء 2018/9/4 والمنفذ يوم الاثنين 2018/9/3  ,"182,286,232","34,000,000
","216,286,232",علماً أن :,https://cbi.iq/currency_auction/view/383
تـاريخ البيع - ليوم الأربعاء 2018/9/5 والمنفذ يوم الثلاثاء 2018/9/4  ,"174,846,485","35,350,000
","210,196,485",علماً أن :,https://cbi.iq/currency_auction/view/384
تـاريخ البيع - ليوم الخميس 2018/9/6 والمنفذ يوم الأربعاء 2018/9/5  ,"168,404,815","31,100,000",اجمالي المبيعات الكلية,علماً أن :,https://cbi.iq/currency_auction/view/385
تـاريخ البيع - ليوم الاحد 2018/9/9 والمنفذ يوم الخميس 2018/9/6  ,"165,241,119","33,050,000
","198,291,119",علماً أن :,https://cbi.iq/currency_auction/view/386
تـاريخ البيع - ليوم الاثنين 2018/9/10 والمنفذ يوم الاحد 2018/9/9  ,"169,998,910","37,350,000
","207,348,910",علماً أن :,https://cbi.iq/currency_auction/view/387
تـاريخ البيع - ليوم الثلاثاء 2018/9/11 والمنفذ يوم الاثنين 2018/9/10  ,"161,015,027","34,350,000
","195,365,027",علماً أن :,https://cbi.iq/currency_auction/view/388
تـاريخ البيع - ليوم الاربعاء 2018/9/12 والمنفذ يوم الاثنين 2018/9/10  ,"174,421,480","35,100,000
"," 209,521,480",علماً أن :,https://cbi.iq/currency_auction/view/389
تـاريخ البيع - ليوم الخميس 2018/9/13 والمنفذ يوم الاربعاء 2018/9/12  ,"156,902,584","30,800,000
"," 187,702,584",علماً أن :,https://cbi.iq/currency_auction/view/390
تـاريخ البيع - ليوم الأحد 2018/9/16 والمنفذ يوم الخميس 2018/9/13  ,"182,569,754","32,350,000
"," 214,919,754",علماً أن :,https://cbi.iq/currency_auction/view/391
تـاريخ البيع - ليوم الأثنين 2018/9/17 والمنفذ يوم الأحد 2018/9/16  ,"147,381,019","38,000,000
"," 185,381,019",علماً أن :,https://cbi.iq/currency_auction/view/392
تـاريخ البيع - ليوم الثلاثاء 2018/9/18 والمنفذ يوم الأثنين 2018/9/17  ,"104,937,400","32,250,000
"," 137,187,400",علماً أن :,https://cbi.iq/currency_auction/view/393
3789,    الـمبلغ,"190,058,455","35,900,000 
",علماً أن :,https://cbi.iq/currency_auction/view/394
